titulo,abstract,clase_pri,clase_otr,clases,categorias
Boosting Combinatorial Problem Modeling with Machine Learning,"  In the past few years, the area of Machine Learning (ML) has witnessed
tremendous advancements, becoming a pervasive technology in a wide range of
applications. One area that can significantly benefit from the use of ML is
Combinatorial Optimization. The three pillars of constraint satisfaction and
optimization problem solving, i.e., modeling, search, and optimization, can
exploit ML techniques to boost their accuracy, efficiency and effectiveness. In
this survey we focus on the modeling component, whose effectiveness is crucial
for solving the problem. The modeling activity has been traditionally shaped by
optimization and domain experts, interacting to provide realistic results.
Machine Learning techniques can tremendously ease the process, and exploit the
available data to either create models or refine expert-designed ones. In this
survey we cover approaches that have been recently proposed to enhance the
modeling process by learning either single constraints, objective functions, or
the whole model. We highlight common themes to multiple approaches and draw
connections with related fields of research.

    ",Artificial Intelligence (cs.AI),,['ArtificialIntelligence(cs.AI)'],['cs.AI']
Malware Detection Module using Machine Learning Algorithms to Assist in Centralized Security in Enterprise Networks,"  Malicious software is abundant in a world of innumerable computer users, who
are constantly faced with these threats from various sources like the internet,
local networks and portable drives. Malware is potentially low to high risk and
can cause systems to function incorrectly, steal data and even crash. Malware
may be executable or system library files in the form of viruses, worms,
Trojans, all aimed at breaching the security of the system and compromising
user privacy. Typically, anti-virus software is based on a signature definition
system which keeps updating from the internet and thus keeping track of known
viruses. While this may be sufficient for home-users, a security risk from a
new virus could threaten an entire enterprise network. This paper proposes a
new and more sophisticated antivirus engine that can not only scan files, but
also build knowledge and detect files as potential viruses. This is done by
extracting system API calls made by various normal and harmful executable, and
using machine learning algorithms to classify and hence, rank files on a scale
of security risk. While such a system is processor heavy, it is very effective
when used centrally to protect an enterprise network which maybe more prone to
such threats.

    ",Cryptography and Security (cs.CR),; Machine Learning (cs.LG),"['CryptographyandSecurity(cs.CR)', 'MachineLearning(cs.LG)']","['cs.CR', 'cs.LG']"
Enhanced Membership Inference Attacks against Machine Learning Models,"  How much does a machine learning algorithm leak about its training data, and
why? Membership inference attacks are used as an auditing tool to quantify this
leakage. In this paper, we present a comprehensive \textit{hypothesis testing
framework} that enables us not only to formally express the prior work in a
consistent way, but also to design new membership inference attacks that use
reference models to achieve a significantly higher power (true positive rate)
for any (false positive rate) error. More importantly, we explain \textit{why}
different attacks perform differently. We present a template for
indistinguishability games, and provide an interpretation of attack success
rate across different instances of the game. We discuss various uncertainties
of attackers that arise from the formulation of the problem, and show how our
approach tries to minimize the attack uncertainty to the one bit secret about
the presence or absence of a data point in the training set. We perform a
\textit{differential analysis} between all types of attacks, explain the gap
between them, and show what causes data points to be vulnerable to an attack
(as the reasons vary due to different granularities of memorization, from
overfitting to conditional memorization). Our auditing framework is openly
accessible as part of the \textit{Privacy Meter} software tool.

    ",Machine Learning (cs.LG),; Cryptography and Security (cs.CR); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'CryptographyandSecurity(cs.CR)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.CR', 'stat.ML']"
Survey on Causal-based Machine Learning Fairness Notions,"  Addressing the problem of fairness is crucial to safely use machine learning
algorithms to support decisions with a critical impact on people's lives such
as job hiring, child maltreatment, disease diagnosis, loan granting, etc.
Several notions of fairness have been defined and examined in the past decade,
such as statistical parity and equalized odds. The most recent fairness
notions, however, are causal-based and reflect the now widely accepted idea
that using causality is necessary to appropriately address the problem of
fairness. This paper examines an exhaustive list of causal-based fairness
notions and study their applicability in real-world scenarios. As the majority
of causal-based fairness notions are defined in terms of non-observable
quantities (e.g., interventions and counterfactuals), their deployment in
practice requires to compute or estimate those quantities using observational
data. This paper offers a comprehensive report of the different approaches to
infer causal quantities from observational data including identifiability
(Pearl's SCM framework) and estimation (potential outcome framework). The main
contributions of this survey paper are (1) a guideline to help selecting a
suitable fairness notion given a specific real-world scenario, and (2) a
ranking of the fairness notions according to Pearl's causation ladder
indicating how difficult it is to deploy each notion in practice.

    ",Machine Learning (cs.LG),,['MachineLearning(cs.LG)'],['cs.LG']
Thumbs up? Sentiment Classification using Machine Learning Techniques,"  We consider the problem of classifying documents not by topic, but by overall
sentiment, e.g., determining whether a review is positive or negative. Using
movie reviews as data, we find that standard machine learning techniques
definitively outperform human-produced baselines. However, the three machine
learning methods we employed (Naive Bayes, maximum entropy classification, and
support vector machines) do not perform as well on sentiment classification as
on traditional topic-based categorization. We conclude by examining factors
that make the sentiment classification problem more challenging.

    ",Computation and Language (cs.CL),; Machine Learning (cs.LG),"['ComputationandLanguage(cs.CL)', 'MachineLearning(cs.LG)']","['cs.CL', 'cs.LG']"
MXNet: A Flexible and Efficient Machine Learning Library for Heterogeneous Distributed Systems,"  MXNet is a multi-language machine learning (ML) library to ease the
development of ML algorithms, especially for deep neural networks. Embedded in
the host language, it blends declarative symbolic expression with imperative
tensor computation. It offers auto differentiation to derive gradients. MXNet
is computation and memory efficient and runs on various heterogeneous systems,
ranging from mobile devices to distributed GPU clusters.
","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG); Mathematical Software (cs.MS); Neural and Evolutionary Computing (cs.NE),"['Distributed,Parallel,andClusterComputing(cs.DC)', 'MachineLearning(cs.LG)', 'MathematicalSoftware(cs.MS)', 'NeuralandEvolutionaryComputing(cs.NE)']","['cs.DC', 'cs.LG', 'cs.MS', 'cs.NE']"
API design for machine learning software: experiences from the scikit-learn project,"  Scikit-learn is an increasingly popular machine learning li- brary. Written
in Python, it is designed to be simple and efficient, accessible to
non-experts, and reusable in various contexts. In this paper, we present and
discuss our design choices for the application programming interface (API) of
the project. In particular, we describe the simple and elegant interface shared
by all learning and processing units in the library and then discuss its
advantages in terms of composition and reusability. The paper also comments on
implementation details specific to the Python ecosystem and analyzes obstacles
faced by users and developers of the library.

    ",Machine Learning (cs.LG),; Mathematical Software (cs.MS),"['MachineLearning(cs.LG)', 'MathematicalSoftware(cs.MS)']","['cs.LG', 'cs.MS']"
Foolbox: A Python toolbox to benchmark the robustness of machine learning models,"  Even todays most advanced machine learning models are easily fooled by almost
imperceptible perturbations of their inputs. Foolbox is a new Python package to
generate such adversarial perturbations and to quantify and compare the
robustness of machine learning models. It is build around the idea that the
most comparable robustness measure is the minimum perturbation needed to craft
an adversarial example. To this end, Foolbox provides reference implementations
of most published adversarial attack methods alongside some new ones, all of
which perform internal hyperparameter tuning to find the minimum adversarial
perturbation. Additionally, Foolbox interfaces with most popular deep learning
frameworks such as PyTorch, Keras, TensorFlow, Theano and MXNet and allows
different adversarial criteria such as targeted misclassification and top-k
misclassification as well as different distance measures. The code is licensed
under the MIT license and is openly available at
",Machine Learning (cs.LG),; Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'CryptographyandSecurity(cs.CR)', 'ComputerVisionandPatternRecognition(cs.CV)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.CR', 'cs.CV', 'stat.ML']"
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,"  TensorFlow is an interface for expressing machine learning algorithms, and an
implementation for executing such algorithms. A computation expressed using
TensorFlow can be executed with little or no change on a wide variety of
heterogeneous systems, ranging from mobile devices such as phones and tablets
up to large-scale distributed systems of hundreds of machines and thousands of
computational devices such as GPU cards. The system is flexible and can be used
to express a wide variety of algorithms, including training and inference
algorithms for deep neural network models, and it has been used for conducting
research and for deploying machine learning systems into production across more
than a dozen areas of computer science and other fields, including speech
recognition, computer vision, robotics, information retrieval, natural language
processing, geographic information extraction, and computational drug
discovery. This paper describes the TensorFlow interface and an implementation
of that interface that we have built at Google. The TensorFlow API and a
reference implementation were released as an open-source package under the
Apache 2.0 license in November, 2015 and are available at ","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG),"['Distributed,Parallel,andClusterComputing(cs.DC)', 'MachineLearning(cs.LG)']","['cs.DC', 'cs.LG']"
Taking Human out of Learning Applications: A Survey on Automated Machine Learning,"  Machine learning techniques have deeply rooted in our everyday life. However,
since it is knowledge- and labor-intensive to pursue good learning performance,
human experts are heavily involved in every aspect of machine learning. In
order to make machine learning techniques easier to apply and reduce the demand
for experienced human experts, automated machine learning (AutoML) has emerged
as a hot topic with both industrial and academic interest. In this paper, we
provide an up to date survey on AutoML. First, we introduce and define the
AutoML problem, with inspiration from both realms of automation and machine
learning. Then, we propose a general AutoML framework that not only covers most
existing approaches to date but also can guide the design for new methods.
Subsequently, we categorize and review the existing works from two aspects,
i.e., the problem setup and the employed techniques. Finally, we provide a
detailed analysis of AutoML approaches and explain the reasons underneath their
successful applications. We hope this survey can serve as not only an
insightful guideline for AutoML beginners but also an inspiration for future
research.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG); Machine Learning (stat.ML),"['ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.AI', 'cs.LG', 'stat.ML']"
Universal Differential Equations for Scientific Machine Learning,"  In the context of science, the well-known adage ""a picture is worth a
thousand words"" might well be ""a model is worth a thousand datasets."" In this
manuscript we introduce the SciML software ecosystem as a tool for mixing the
information of physical laws and scientific models with data-driven machine
learning approaches. We describe a mathematical object, which we denote
universal differential equations (UDEs), as the unifying framework connecting
the ecosystem. We show how a wide variety of applications, from automatically
discovering biological mechanisms to solving high-dimensional
Hamilton-Jacobi-Bellman equations, can be phrased and efficiently handled
through the UDE formalism and its tooling. We demonstrate the generality of the
software tooling to handle stochasticity, delays, and implicit constraints.
This funnels the wide variety of SciML applications into a core set of training
mechanisms which are highly optimized, stabilized for stiff equations, and
compatible with distributed parallelism and GPU accelerators.

    ",Machine Learning (cs.LG),; Dynamical Systems (math.DS); Quantitative Methods (q-bio.QM); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'DynamicalSystems(math.DS)', 'QuantitativeMethods(q-bio.QM)', 'MachineLearning(stat.ML)']","['cs.LG', 'math.DS', 'q-bio.QM', 'stat.ML']"
Distributed GraphLab: A Framework for Machine Learning in the Cloud,"  While high-level data parallel frameworks, like MapReduce, simplify the
design and implementation of large-scale data processing systems, they do not
naturally or efficiently support many important data mining and machine
learning algorithms and can lead to inefficient learning systems. To help fill
this critical void, we introduced the GraphLab abstraction which naturally
expresses asynchronous, dynamic, graph-parallel computation while ensuring data
consistency and achieving a high degree of parallel performance in the
shared-memory setting. In this paper, we extend the GraphLab framework to the
substantially more challenging distributed setting while preserving strong data
consistency guarantees. We develop graph based extensions to pipelined locking
and data versioning to reduce network congestion and mitigate the effect of
network latency. We also introduce fault tolerance to the GraphLab abstraction
using the classic Chandy-Lamport snapshot algorithm and demonstrate how it can
be easily implemented by exploiting the GraphLab abstraction itself. Finally,
we evaluate our distributed implementation of the GraphLab abstraction on a
large Amazon EC2 deployment and show 1-2 orders of magnitude performance gains
over Hadoop-based implementations.

    ",Databases (cs.DB),; Machine Learning (cs.LG),"['Databases(cs.DB)', 'MachineLearning(cs.LG)']","['cs.DB', 'cs.LG']"
The Measure and Mismeasure of Fairness: A Critical Review of Fair Machine Learning,"  The nascent field of fair machine learning aims to ensure that decisions
guided by algorithms are equitable. Over the last several years, three formal
definitions of fairness have gained prominence: (1) anti-classification,
meaning that protected attributes---like race, gender, and their proxies---are
not explicitly used to make decisions; (2) classification parity, meaning that
common measures of predictive performance (e.g., false positive and false
negative rates) are equal across groups defined by the protected attributes;
and (3) calibration, meaning that conditional on risk estimates, outcomes are
independent of protected attributes. Here we show that all three of these
fairness definitions suffer from significant statistical limitations. Requiring
anti-classification or classification parity can, perversely, harm the very
groups they were designed to protect; and calibration, though generally
desirable, provides little guarantee that decisions are equitable. In contrast
to these formal fairness criteria, we argue that it is often preferable to
treat similarly risky people similarly, based on the most statistically
accurate estimates of risk that one can produce. Such a strategy, while not
universally applicable, often aligns well with policy objectives; notably, this
strategy will typically violate both anti-classification and classification
parity. In practice, it requires significant effort to construct suitable risk
estimates. One must carefully define and measure the targets of prediction to
avoid retrenching biases in the data. But, importantly, one cannot generally
address these difficulties by requiring that algorithms satisfy popular
mathematical formalizations of fairness. By highlighting these challenges in
the foundation of fair machine learning, we hope to help researchers and
practitioners productively advance the area.

    ",Computers and Society (cs.CY),,['ComputersandSociety(cs.CY)'],['cs.CY']
"Model Evaluation, Model Selection, and Algorithm Selection in Machine Learning","  The correct use of model evaluation, model selection, and algorithm selection
techniques is vital in academic machine learning research as well as in many
industrial settings. This article reviews different techniques that can be used
for each of these three subtasks and discusses the main advantages and
disadvantages of each technique with references to theoretical and empirical
studies. Further, recommendations are given to encourage best yet feasible
practices in research and applications of machine learning. Common methods such
as the holdout method for model evaluation and selection are covered, which are
not recommended when working with small datasets. Different flavors of the
bootstrap technique are introduced for estimating the uncertainty of
performance estimates, as an alternative to confidence intervals via normal
approximation if bootstrapping is computationally feasible. Common
cross-validation techniques such as leave-one-out cross-validation and k-fold
cross-validation are reviewed, the bias-variance trade-off for choosing k is
discussed, and practical tips for the optimal choice of k are given based on
empirical evidence. Different statistical tests for algorithm comparisons are
presented, and strategies for dealing with multiple comparisons such as omnibus
tests and multiple-comparison corrections are discussed. Finally, alternative
methods for algorithm selection, such as the combined F-test 5x2
cross-validation and nested cross-validation, are recommended for comparing
machine learning algorithms when datasets are small.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.LG', 'stat.ML']"
Coronavirus (COVID-19) Classification using CT Images by Machine Learning Methods,"  This study presents early phase detection of Coronavirus (COVID-19), which is
named by World Health Organization (WHO), by machine learning methods. The
detection process was implemented on abdominal Computed Tomography (CT) images.
The expert radiologists detected from CT images that COVID-19 shows different
behaviours from other viral pneumonia. Therefore, the clinical experts specify
that COVİD-19 virus needs to be diagnosed in early phase. For detection of
the COVID-19, four different datasets were formed by taking patches sized as
16x16, 32x32, 48x48, 64x64 from 150 CT images. The feature extraction process
was applied to patches to increase the classification performance. Grey Level
Co-occurrence Matrix (GLCM), Local Directional Pattern (LDP), Grey Level Run
Length Matrix (GLRLM), Grey-Level Size Zone Matrix (GLSZM), and Discrete
Wavelet Transform (DWT) algorithms were used as feature extraction methods.
Support Vector Machines (SVM) classified the extracted features. 2-fold, 5-fold
and 10-fold cross-validations were implemented during the classification
process. Sensitivity, specificity, accuracy, precision, and F-score metrics
were used to evaluate the classification performance. The best classification
accuracy was obtained as 99.68% with 10-fold cross-validation and GLSZM feature
extraction method.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Image and Video Processing (eess.IV); Machine Learning (stat.ML),"['ComputerVisionandPatternRecognition(cs.CV)', 'MachineLearning(cs.LG)', 'ImageandVideoProcessing(eess.IV)', 'MachineLearning(stat.ML)']","['cs.CV', 'cs.LG', 'eess.IV', 'stat.ML']"
InterpretML: A Unified Framework for Machine Learning Interpretability,"  InterpretML is an open-source Python package which exposes machine learning
interpretability algorithms to practitioners and researchers. InterpretML
exposes two types of interpretability - glassbox models, which are machine
learning models designed for interpretability (ex: linear models, rule lists,
generalized additive models), and blackbox explainability techniques for
explaining existing systems (ex: Partial Dependence, LIME). The package enables
practitioners to easily compare interpretability algorithms by exposing
multiple methods under a unified API, and by having a built-in, extensible
visualization platform. InterpretML also includes the first implementation of
the Explainable Boosting Machine, a powerful, interpretable, glassbox model
that can be as accurate as many blackbox models. The MIT licensed source code
can be downloaded from ",Machine Learning (cs.LG),; Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.LG', 'stat.ML']"
GraphLab: A New Framework For Parallel Machine Learning,"  Designing and implementing efficient, provably correct parallel machine
learning (ML) algorithms is challenging. Existing high-level parallel
abstractions like MapReduce are insufficiently expressive while low-level tools
like MPI and Pthreads leave ML experts repeatedly solving the same design
challenges. By targeting common patterns in ML, we developed GraphLab, which
improves upon abstractions like MapReduce by compactly expressing asynchronous
iterative algorithms with sparse computational dependencies while ensuring data
consistency and achieving a high degree of parallel performance. We demonstrate
the expressiveness of the GraphLab framework by designing and implementing
parallel versions of belief propagation, Gibbs sampling, Co-EM, Lasso and
Compressed Sensing. We show that using GraphLab we can achieve excellent
parallel performance on large scale real-world problems.

    ",Machine Learning (cs.LG),"; Distributed, Parallel, and Cluster Computing (cs.DC)","['MachineLearning(cs.LG)', 'Distributed,Parallel,andClusterComputing(cs.DC)']","['cs.LG', 'cs.DC']"
Adversarial Machine Learning at Scale,"  Adversarial examples are malicious inputs designed to fool machine learning
models. They often transfer from one model to another, allowing attackers to
mount black box attacks without knowledge of the target model's parameters.
Adversarial training is the process of explicitly training a model on
adversarial examples, in order to make it more robust to attack or to reduce
its test error on clean inputs. So far, adversarial training has primarily been
applied to small problems. In this research, we apply adversarial training to
ImageNet. Our contributions include: (1) recommendations for how to succesfully
scale adversarial training to large models and datasets, (2) the observation
that adversarial training confers robustness to single-step attack methods, (3)
the finding that multi-step attack methods are somewhat less transferable than
single-step attack methods, so single-step attacks are the best for mounting
black-box attacks, and (4) resolution of a ""label leaking"" effect that causes
adversarially trained models to perform better on adversarial examples than on
clean examples, because the adversarial example construction process uses the
true label and the model can learn to exploit regularities in the construction
process.

    ",Computer Vision and Pattern Recognition (cs.CV),; Cryptography and Security (cs.CR); Machine Learning (cs.LG); Machine Learning (stat.ML),"['ComputerVisionandPatternRecognition(cs.CV)', 'CryptographyandSecurity(cs.CR)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.CV', 'cs.CR', 'cs.LG', 'stat.ML']"
"Interpretable machine learning: definitions, methods, and applications","  Machine-learning models have demonstrated great success in learning complex
patterns that enable them to make predictions about unobserved data. In
addition to using models for prediction, the ability to interpret what a model
has learned is receiving an increasing amount of attention. However, this
increased focus has led to considerable confusion about the notion of
interpretability. In particular, it is unclear how the wide array of proposed
interpretation methods are related, and what common concepts can be used to
evaluate them.
",Machine Learning (stat.ML),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Applications (stat.AP),"['MachineLearning(stat.ML)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'Applications(stat.AP)']","['stat.ML', 'cs.AI', 'cs.LG', 'stat.AP']"
Pylearn2: a machine learning research library,"  Pylearn2 is a machine learning research library. This does not just mean that
it is a collection of machine learning algorithms that share a common API; it
means that it has been designed for flexibility and extensibility in order to
facilitate research projects that involve new or unusual use cases. In this
paper we give a brief history of the library, an overview of its basic
philosophy, a summary of the library's architecture, and a description of how
the Pylearn2 community functions socially.

    ",Machine Learning (stat.ML),; Machine Learning (cs.LG); Mathematical Software (cs.MS),"['MachineLearning(stat.ML)', 'MachineLearning(cs.LG)', 'MathematicalSoftware(cs.MS)']","['stat.ML', 'cs.LG', 'cs.MS']"
The Frontiers of Fairness in Machine Learning,"  The last few years have seen an explosion of academic and popular interest in
algorithmic fairness. Despite this interest and the volume and velocity of work
that has been produced recently, the fundamental science of fairness in machine
learning is still in a nascent state. In March 2018, we convened a group of
experts as part of a CCC visioning workshop to assess the state of the field,
and distill the most promising research directions going forward. This report
summarizes the findings of that workshop. Along the way, it surveys recent
theoretical work in the field and points towards promising directions for
research.

    ",Machine Learning (cs.LG),; Data Structures and Algorithms (cs.DS); Computer Science and Game Theory (cs.GT); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'DataStructuresandAlgorithms(cs.DS)', 'ComputerScienceandGameTheory(cs.GT)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.DS', 'cs.GT', 'stat.ML']"
Communication-Efficient On-Device Machine Learning: Federated Distillation and Augmentation under Non-IID Private Data,"  On-device machine learning (ML) enables the training process to exploit a
massive amount of user-generated private data samples. To enjoy this benefit,
inter-device communication overhead should be minimized. With this end, we
propose federated distillation (FD), a distributed model training algorithm
whose communication payload size is much smaller than a benchmark scheme,
federated learning (FL), particularly when the model size is large. Moreover,
user-generated data samples are likely to become non-IID across devices, which
commonly degrades the performance compared to the case with an IID dataset. To
cope with this, we propose federated augmentation (FAug), where each device
collectively trains a generative model, and thereby augments its local data
towards yielding an IID dataset. Empirical studies demonstrate that FD with
FAug yields around 26x less communication overhead while achieving 95-98% test
accuracy compared to FL.

    ",Machine Learning (cs.LG),; Networking and Internet Architecture (cs.NI); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'NetworkingandInternetArchitecture(cs.NI)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.NI', 'stat.ML']"
ML-Leaks: Model and Data Independent Membership Inference Attacks and Defenses on Machine Learning Models,"  Machine learning (ML) has become a core component of many real-world
applications and training data is a key factor that drives current progress.
This huge success has led Internet companies to deploy machine learning as a
service (MLaaS). Recently, the first membership inference attack has shown that
extraction of information on the training set is possible in such MLaaS
settings, which has severe security and privacy implications.
",Cryptography and Security (cs.CR),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"['CryptographyandSecurity(cs.CR)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['cs.CR', 'cs.AI', 'cs.LG']"
BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain,"  Deep learning-based techniques have achieved state-of-the-art performance on
a wide variety of recognition and classification tasks. However, these networks
are typically computationally expensive to train, requiring weeks of
computation on many GPUs; as a result, many users outsource the training
procedure to the cloud or rely on pre-trained models that are then fine-tuned
for a specific task. In this paper we show that outsourced training introduces
new security risks: an adversary can create a maliciously trained network (a
backdoored neural network, or a \emph{BadNet}) that has state-of-the-art
performance on the user's training and validation samples, but behaves badly on
specific attacker-chosen inputs. We first explore the properties of BadNets in
a toy example, by creating a backdoored handwritten digit classifier. Next, we
demonstrate backdoors in a more realistic scenario by creating a U.S. street
sign classifier that identifies stop signs as speed limits when a special
sticker is added to the stop sign; we then show in addition that the backdoor
in our US street sign detector can persist even if the network is later
retrained for another task and cause a drop in accuracy of {25}\% on average
when the backdoor trigger is present. These results demonstrate that backdoors
in neural networks are both powerful and---because the behavior of neural
networks is difficult to explicate---stealthy. This work provides motivation
for further research into techniques for verifying and inspecting neural
networks, just as we have developed tools for verifying and debugging software.

    ",Cryptography and Security (cs.CR),; Machine Learning (cs.LG),"['CryptographyandSecurity(cs.CR)', 'MachineLearning(cs.LG)']","['cs.CR', 'cs.LG']"
Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,"  We identify label errors in the test sets of 10 of the most commonly-used
computer vision, natural language, and audio datasets, and subsequently study
the potential for these label errors to affect benchmark results. Errors in
test sets are numerous and widespread: we estimate an average of at least 3.3%
errors across the 10 datasets, where for example label errors comprise at least
6% of the ImageNet validation set. Putative label errors are identified using
confident learning algorithms and then human-validated via crowdsourcing (51%
of the algorithmically-flagged candidates are indeed erroneously labeled, on
average across the datasets). Traditionally, machine learning practitioners
choose which model to deploy based on test accuracy - our findings advise
caution here, proposing that judging models over correctly labeled test sets
may be more useful, especially for noisy real-world datasets. Surprisingly, we
find that lower capacity models may be practically more useful than higher
capacity models in real-world datasets with high proportions of erroneously
labeled data. For example, on ImageNet with corrected labels: ResNet-18
outperforms ResNet-50 if the prevalence of originally mislabeled test examples
increases by just 6%. On CIFAR-10 with corrected labels: VGG-11 outperforms
VGG-19 if the prevalence of originally mislabeled test examples increases by
just 5%. Test set errors across the 10 datasets can be viewed at
",Machine Learning (stat.ML),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"['MachineLearning(stat.ML)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['stat.ML', 'cs.AI', 'cs.LG']"
Federated Optimization: Distributed Machine Learning for On-Device Intelligence,"  We introduce a new and increasingly relevant setting for distributed
optimization in machine learning, where the data defining the optimization are
unevenly distributed over an extremely large number of nodes. The goal is to
train a high-quality centralized model. We refer to this setting as Federated
Optimization. In this setting, communication efficiency is of the utmost
importance and minimizing the number of rounds of communication is the
principal goal.
",Machine Learning (cs.LG),,['MachineLearning(cs.LG)'],['cs.LG']
Machine Learning that Matters,"  Much of current machine learning (ML) research has lost its connection to
problems of import to the larger world of science and society. From this
perspective, there exist glaring limitations in the data sets we investigate,
the metrics we employ for evaluation, and the degree to which results are
communicated back to their originating domains. What changes are needed to how
we conduct research to increase the impact that ML has? We present six Impact
Challenges to explicitly focus the field?s energy and attention, and we discuss
existing obstacles that must be addressed. We aim to inspire ongoing discussion
and focus on ML that matters.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.AI', 'stat.ML']"
Theoretical Impediments to Machine Learning With Seven Sparks from the Causal Revolution,"  Current machine learning systems operate, almost exclusively, in a
statistical, or model-free mode, which entails severe theoretical limits on
their power and performance. Such systems cannot reason about interventions and
retrospection and, therefore, cannot serve as the basis for strong AI. To
achieve human level intelligence, learning machines need the guidance of a
model of reality, similar to the ones used in causal inference tasks. To
demonstrate the essential role of such models, I will present a summary of
seven tasks which are beyond reach of current machine learning systems and
which have been accomplished using the tools of causal modeling.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.AI', 'stat.ML']"
"Identifying the Best Machine Learning Algorithms for Brain Tumor Segmentation, Progression Assessment, and Overall Survival Prediction in the BRATS Challenge","  Gliomas are the most common primary brain malignancies, with different
degrees of aggressiveness, variable prognosis and various heterogeneous
histologic sub-regions, i.e., peritumoral edematous/invaded tissue, necrotic
core, active and non-enhancing core. This intrinsic heterogeneity is also
portrayed in their radio-phenotype, as their sub-regions are depicted by
varying intensity profiles disseminated across multi-parametric magnetic
resonance imaging (mpMRI) scans, reflecting varying biological properties.
Their heterogeneous shape, extent, and location are some of the factors that
make these tumors difficult to resect, and in some cases inoperable. The amount
of resected tumor is a factor also considered in longitudinal scans, when
evaluating the apparent tumor for potential diagnosis of progression.
Furthermore, there is mounting evidence that accurate segmentation of the
various tumor sub-regions can offer the basis for quantitative image analysis
towards prediction of patient overall survival. This study assesses the
state-of-the-art machine learning (ML) methods used for brain tumor image
analysis in mpMRI scans, during the last seven instances of the International
Brain Tumor Segmentation (BraTS) challenge, i.e., 2012-2018. Specifically, we
focus on i) evaluating segmentations of the various glioma sub-regions in
pre-operative mpMRI scans, ii) assessing potential tumor progression by virtue
of longitudinal growth of tumor sub-regions, beyond use of the RECIST/RANO
criteria, and iii) predicting the overall survival from pre-operative mpMRI
scans of patients that underwent gross total resection. Finally, we investigate
the challenge of identifying the best ML algorithms for each of these tasks,
considering that apart from being diverse on each instance of the challenge,
the multi-institutional mpMRI BraTS dataset has also been a continuously
evolving/growing dataset.

    ",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Machine Learning (stat.ML),"['ComputerVisionandPatternRecognition(cs.CV)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.CV', 'cs.AI', 'cs.LG', 'stat.ML']"
Quantifying the Carbon Emissions of Machine Learning,"  From an environmental standpoint, there are a few crucial aspects of training
a neural network that have a major impact on the quantity of carbon that it
emits. These factors include: the location of the server used for training and
the energy grid that it uses, the length of the training procedure, and even
the make and model of hardware on which the training takes place. In order to
approximate these emissions, we present our Machine Learning Emissions
Calculator, a tool for our community to better understand the environmental
impact of training ML models. We accompany this tool with an explanation of the
factors cited above, as well as concrete actions that individual practitioners
and organizations can take to mitigate their carbon emissions.

    ",Computers and Society (cs.CY),; Machine Learning (cs.LG),"['ComputersandSociety(cs.CY)', 'MachineLearning(cs.LG)']","['cs.CY', 'cs.LG']"
